Company ID,Total Billing Across Portfolio Last Month,Marvin Gardens,Park Place,Boardwalk,Ventnor,St. James Place,Tennessee,Kentucky,Pennslyvania,,,,,,,,,,
28117851,0.00004461,0.00000000,0.00040756,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
90521896,0.00172196,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03355841,0.00000000,0.00000000,,,,,,,,,,
25870866,0.00011500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00224124,0.00000000,0.00000000,,,,,,,,,,
43076614,0.21198898,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
480774295,0.01251359,0.00000000,0.00000000,0.00000000,0.00000000,0.05902945,0.00000000,0.00000000,0.00000000,,,,,,,,,,
346358674,0.00050399,0.00000000,0.00000000,0.00529805,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
79696467,0.00147278,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02870235,0.00000000,0.00000000,,,,,,,,,,
373354741,0.03613041,0.00000000,0.00000000,0.00000000,0.00000000,0.17043533,0.00000000,0.00000000,0.00000000,,,,,,,,,,
52381340,0.00017940,0.00000000,0.00000000,0.00000000,0.00000000,0.00084625,0.00000000,0.00000000,0.00000000,,,,,,,,,,
37491293,0.02262260,0.00000000,0.00000000,0.00000000,0.00000000,0.10671593,0.00000000,0.00000000,0.00000000,,,,,,,,,,
36619444,0.00152076,0.00000000,0.01389409,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
392002334,0.00009512,0.00000000,0.00000000,0.00000000,0.00000000,0.00044872,0.00000000,0.00000000,0.00000000,,,,,,,,,,
410916457,0.00002925,0.00002925,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
344954226,0.08039893,0.00000000,0.00000000,0.00000000,0.00000000,0.37925997,0.00000000,0.00000000,0.00000000,,,,,,,,,,
32394811,0.09694674,0.00000000,0.00604310,0.77902880,0.16087271,0.00000000,0.36991085,0.00000000,0.00000000,,,,,,,,,,
348827137,0.00020454,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00398616,0.00000000,0.00000000,,,,,,,,,,
14271049,0.00037449,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00729835,0.00000000,0.00000000,,,,,,,,,,
20054213,0.03105407,0.00000000,0.00000000,0.00000000,0.00000000,0.14648907,0.00000000,0.00000000,0.00000000,,,,,,,,,,
32278336,0.00020554,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00400565,0.00000000,0.00000000,,,,,,,,,,
15614775,0.01782837,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34744892,0.00000000,0.00000000,,,,,,,,,,
